movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,directors/1/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/2/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/3/peopleNm,companys/3/companyCd,companys/3/companyNm
20148620,악사들,Highway Stars ,2014,20141204,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김지곤,,20137935,반달,,20138339,'탁주'조합,,,,,
20149458,픽업 아티스트,Pick Up Artist,2014,20140828,장편,개봉,한국,"코미디,멜로/로맨스",한국,코미디,전도한,,20137899,자작나무영화사,,,,,,,,
20149441,내 연애의 기억,My Ordinary Love Story,2013,20140820,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,이권,,20138478,(주)아이엠티브이,,,,,,,,
20132799,족구왕,The King of Jokgu,2013,20140821,장편,개봉,한국,"코미디,멜로/로맨스,드라마",한국,코미디,우문기,,20126116,광화문시네마,,,,,,,,
20148128,백설공주의 마지막 키스,Snow white,2012,20140501,장편,개봉,"스페인,프랑스,벨기에",드라마,스페인,드라마,파블로 베르헤르,,,,,,,,,,,
20148587,그댄 나의 뱀파이어,You Are My Vampire,2014,20140612,장편,개봉,한국,"드라마,멜로/로맨스,코미디",한국,드라마,이원회,,20100004,지오엔터테인먼트,,,,,,,,
20110436,웨이스트 랜드,Waste Land,2010,20140403,장편,개봉,"브라질,영국",다큐멘터리,브라질,다큐멘터리,루시 워커,,,,,,,,,,,
20134272,머나먼 세상속으로,The Day of the Crows,2011,20140731,장편,개봉,"프랑스,벨기에,캐나다",애니메이션,프랑스,애니메이션,장 크리스토프 드상,,,,,,,,,,,
20123082,소리굽쇠,Tuning Fork,2014,20141030,장편,개봉,한국,"드라마,미스터리",한국,드라마,추상록,,20125317,(주)아시아홈 엔터테인먼트,,,,,,,,
20139881,피끓는 청춘,Hot Young Bloods,2013,20140122,장편,개봉,한국,"코미디,멜로/로맨스,드라마",한국,코미디,이연우,,20140448,(주)담소필름,,,,,,,,
20135915,서울연애,Romance In Seoul,2013,20141030,옴니버스,개봉,한국,드라마,한국,드라마,이우정,,20063246,서울독립영화제,,,,,,,,
20142182,빌리 엘리어트 뮤지컬 라이브,BILLY ELLIOT THE MUSICAL LIVE,2014,20141127,장편,개봉,미국,"뮤지컬,공연",미국,뮤지컬,스티븐 달드리,,,,,,,,,,,
20149248,선샤인 온 리스,Sunshine on Leith ,2013,20140903,장편,개봉,영국,뮤지컬,영국,뮤지컬,덱스터 플레처,,,,,,,,,,,
20133789,"자, 이제 댄스타임",Let’s Dance,2013,20140626,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,조세영,,,,,,,,,,,
20134589,제보자,The Whistleblower,2014,20141002,장편,개봉,한국,드라마,한국,드라마,임순례,,20061784,(주)영화사수박,,,,,,,,
20135386,슬로우 비디오,Slow Video,2014,20141002,장편,개봉,한국,"드라마,코미디",한국,드라마,김영탁,,20124236,이십세기폭스 인터내셔널 프로덕션,,20141788,(주)영화사AK기쁜우리젊은날,,,,,
20136445,레고 무비,The Lego Movie,2014,20140206,장편,개봉,미국,"애니메이션,코미디,액션,가족",미국,애니메이션,필 로드,크리스 밀러,,,,,,,,,,
20126090,조선미녀삼총사,The Huntresses,2013,20140129,장편,개봉,한국,"코미디,액션,사극",한국,코미디,박제현,,20123935,(주)웰메이드필름,,,,,,,,
20138221,산타바바라,Santa Barbara,2013,20140716,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,조성규,,20114813,(주)영화사 조제,,,,,,,,
20139183,역린,The Fatal Encounter,2014,20140430,장편,개봉,한국,사극,한국,사극,이재규,,20063037,굿초이스컷픽쳐스(주),,20140737,(주)파파스필름,,,,,
19848236,러브 호텔,Love Hotel,1985,20140918,장편,개봉,일본,드라마,일본,드라마,소마이 신지,,,,,,,,,,,
20134594,두근두근 내 인생,My Brilliant Life,2014,20140903,장편,개봉,한국,드라마,한국,드라마,이재용,,20100450,영화사 집,,,,,,,,
20136802,카트,Cart,2014,20141113,장편,개봉,한국,드라마,한국,드라마,부지영,,20100545,(주)명필름,,,,,,,,
20130573,봄,Late Spring,2014,20141120,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,조근현,,20139355,(주)스튜디오후크,,,,,,,,
20149970,마야,Maya the Bee Movie ,2014,20140904,장편,개봉,"독일,호주",애니메이션,독일,애니메이션,알렉스 스타더만,,,,,,,,,,,
20144321,라보엠,La Boheme,2008,20141220,장편,개봉,독일,멜로/로맨스,독일,멜로/로맨스,로버트 돈헴,,,,,,,,,,,
