movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,directors/4/peopleNm,directors/5/peopleNm
20161694,"제자도 - 제자,옥한흠2",,2016,20161110,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김상철,20063240,파이오니아21,,,,,,,,,
20162546,워킹 스트리트,Walking Street,2016,20161117,장편,개봉,한국,드라마,한국,드라마,이상우,20123997,(주)컨텐츠로드,20172401,(주)케이피필름,,,,,,,
20138783,와와의 학교 가는 날,Walking To School,2015,20161027,장편,개봉,중국,드라마,중국,드라마,펑천,,,,,,,,,,,
20165841,맛있는 간호사의 정사,Nurse call girl Breasts Release ward,1996,20160630,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,나루세토 사유키,,,,,,,,,,,
20166129,관광버스 속 정사,New bus guide hot spring Tour diary,2001,20160714,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,타케우치 마사토시,,,,,,,,,,,
20163642,몸 로비,Revenge of the restructuring Humiliation bank career,2000,20160512,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,사카모토 후토시,,,,,,,,,,,
20163442,맛있는 성노예,Yakuza Criminal,2003,20160504,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,사토 사키치,,,,,,,,,,,
20160794,1942: 최정예특수부대 스페츠나츠,The Dawns Here Are Quiet,2015,20161201,장편,개봉,러시아,"드라마,전쟁",러시아,드라마,레나트 다블레티아로프,,,,,,,,,,,
20158982,트릭,Trick,2016,20160713,장편,개봉,한국,"스릴러,드라마",한국,스릴러,이창열,20160481,엘씨오픽쳐스,,,,,,,,,
20161722,히야,HIYA,2015,20160310,장편,개봉,한국,드라마,한국,드라마,김지연,20168888,(주)메이저타운,20169148,(주)더재미팩토리,20100392,(주)알지엔터웍스,,,,,
20152746,커터,Eclipse,2016,20160330,장편,개봉,한국,"범죄,드라마",한국,범죄,정희성,20169308,(주)엘픽쳐스,,,,,,,,,
