movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm
20187657,마일22,Mile22,2018,20180823,장편,개봉예정,미국,"액션,어드벤처,스릴러",미국,액션,피터 버그,,,,,,,,,
20189021,여동생,Sister of mine,2018,20180809,장편,개봉예정,스페인,"스릴러,드라마,멜로/로맨스",스페인,스릴러,,,,,,,,,,
20189002,투란도트,Turandot,2018,20180826,장편,개봉예정,독일,드라마,독일,드라마,스테파노 포다,,,,,,,,,
20187641,극장판 도라에몽: 진구의 보물섬,,2018,20180815,장편,개봉예정,일본,"애니메이션,SF,어드벤처",일본,애니메이션,이마이 카즈아키,,,,,,,,,
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,2018,20180808,장편,개봉예정,일본,애니메이션,일본,애니메이션,타치카와 유즈루,,,,,,,,,
20188004,인공지능 섹스돌,,2018,20180731,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김종민,20063099,(주)케이알씨지,,,,,,,
20186585,엄마의 유혹,,2018,20180731,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,유해종,20161021,(주)영화사가을,,,,,,,
20188021,섹스-이웃집 여자-감독판,,2018,20180731,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이전,20063099,(주)케이알씨지,,,,,,,
20188823,부드러운 여주인:단단한 물건을 원해,Okamisan 01,2017,20180731,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,우미야마 테루카즈,,,,,,,,,
20188822,동창회:그녀와 하던 날,Rape Gurui,2016,20180731,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,Z.아라이,,,,,,,,,
20187882,금지된 섹스,,2018,20180731,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김종민,20063099,(주)케이알씨지,,,,,,,
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,2018,20180808,장편,개봉예정,미국,뮤지컬,미국,뮤지컬,올 파커,,,,,,,,,
20184083,휘트니,Whitney,2018,20180823,장편,개봉예정,미국,"드라마,다큐멘터리",미국,드라마,케빈 맥도널드,,,,,,,,,
20179101,공작,The Spy Gone North,2017,20180808,장편,개봉예정,한국,드라마,한국,드라마,윤종빈,20126515,(주)영화사 월광,,,,20122737,(주)사나이픽처스,,
20187861,몬스터 헌트2: 요괴사냥단,Monster Hunt 2,2017,20180813,장편,개봉예정,홍콩,"판타지,코미디,어드벤처,액션,SF",홍콩,판타지,라맨 허,,,,,,,,,
20183264,더 시크릿 하우스,Marrowbone ,2017,20180808,장편,개봉예정,스페인,"드라마,공포(호러),스릴러",스페인,드라마,세르지오 G. 산체즈,,,,,,,,,
20183235,훔쳐보는 쉐어 하우스,Girls Share A Flat 4,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),오우치 아이리,,,,,,,,,
20188328,해외유학녀의 마사지,Populer beauty massage into a study abroad frustrated lady,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),드래곤 니시카와,,,,,,,,,
20188327,폭주미망인-다빌려드립니다,Widow boarding house? I also lend a valley,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),시즈미 다이케이,,,,,,,,,
20182339,정사 : 친구의 엄마 2 무삭제,,2018,20180730,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김부곤,20161021,(주)영화사가을,,,,,,,
20188325,인형같은 애인클럽,Makeover dolls Fingertips that love limbs,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),야마자키 쿠니노리,,,,,,,,,
20188326,실신직전 마사지,Just before fainting,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),드래곤 니시카와,,,,,,,,,
20188330,미래에서 온 육덕여친,Visitor X Slut game,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),쿠니자와 미노루,,,,,,,,,
20188324,물방울 원피스의 유부녀,Beauty milf leave a frenzy in beauty salon,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),미타니 유키오,,,,,,,,,
20188329,마사지를 받는 여직원들,Cheated beauty aestheticians to whom Legendary mens,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),드래곤 니시카와,,,,,,,,,
20183236,도촬 여대생 하숙집,Girls Share A Flat 2,2017,20180730,장편,개봉,일본,성인물(에로),일본,성인물(에로),오오쿠노 마코토,,,,,,,,,
20184128,아프칸 솔져스,Afghan Luke,2011,20180722,장편,개봉,캐나다,드라마,캐나다,드라마,마이크 클래튼버그,,,,,,,,,
20184142,신들의 제국,Katherine of Alexandria,2014,20180722,장편,개봉,영국,드라마,영국,드라마,마이클 레드우드,,,,,,,,,
20184143,스텝 업: 비트 더 월드,Beat the World,2011,20180722,장편,개봉,캐나다,드라마,캐나다,드라마,로버트 애드튜이,,,,,,,,,
20180145,슈퍼히어로 스팍스,Sparks,2013,20180722,장편,개봉,미국,"액션,스릴러",미국,액션,토드 버로우즈,,,,,,,,,
20187656,적 그리스도의 날,Ave Mater,2016,20180906,장편,개봉예정,스웨덴,"스릴러,액션",스웨덴,스릴러,라스무스 터지티스,,,,,,,,,
20174186,톰 오브 핀란드,Tom of Finland,2017,20180830,장편,개봉예정,"핀란드,스웨덴,덴마크,독일,미국",드라마,핀란드,드라마,돔 카루코스키,,,,,,,,,
20188664,착한 며느리:음란한 몸,Midarayome 4,2017,20180727,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,키무라 히로유키,,,,,,,,,
20182781,아버지를 찾아서,Little My Giant,2018,20180412,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김무은,20187261,(주)스위시,,,,,,,
20162983,운동회,A Field Day,2016,20180322,장편,개봉,한국,"가족,코미디",한국,가족,김진태,20111302,영화사 질주,,,,,,,
20189701,쿵푸 크로니클,Kung Fu Chronicles,2017,20180726,장편,개봉,중국,액션,중국,액션,마이위수,,,,,,,,,
