movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,directors/1/peopleNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm,directors/2/peopleNm,directors/3/peopleNm
20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,Fate/stay night[Heaven's Feel] THE MOVIE chapter 1:presage flower,2017,20171116,장편,개봉,일본,"애니메이션,액션,판타지",일본,애니메이션,스도 토모노리,,,,,,,,,,,
20173805,윈드 리버: 감독판,WIND RIVER,2017,20170921,장편,개봉,미국,"스릴러,액션",미국,스릴러,테일러 쉐리던,,,,,,,,,,,
20174222,키드냅,KIDNAP,2017,20171122,장편,개봉,미국,"액션,스릴러",미국,액션,루이스 프리에토,,,,,,,,,,,
20176422,일주일간 친구,ONE WEEK FRIENDS,2017,20171228,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,무라카미 쇼스케,,,,,,,,,,,
20172702,세 번째 살인,The Third Murder,2017,20171214,장편,개봉,일본,스릴러,일본,스릴러,고레에다 히로카즈,,,,,,,,,,,
20160787,더티 로맨스,Dirty Romance,2016,20170107,장편,개봉,한국,드라마,한국,드라마,이상우,20110901,이상우 필름,,,,,,,,,
20177081,드래곤빌리지<화이트니스타운을 구하라>,,2017,20170608,장편,개봉,한국,애니메이션,한국,애니메이션,민경호,20173242,(주)에픽캔,,,,,,,,,
20171812,쥬라기 파크: 아마존 어드벤쳐,Extinction,2014,20170309,장편,개봉,미국,"어드벤처,스릴러",미국,어드벤처,아담 스핑크스,,,,,,,,,,,
20174601,초행,The First Lap,2017,20171207,장편,개봉,한국,드라마,한국,드라마,김대환,20161603,봄내필름,,,,,,,,,
20178666,아이 앰 히스 레저,I Am Heath Ledger,2017,20171019,장편,개봉,캐나다,다큐멘터리,캐나다,다큐멘터리,아드리안 부이텐후이스,,,,,데릭 머레이,,,,,,
20178844,사촌누나와 동거-무삭제,,2017,20171221,장편,개봉,한국,기타,한국,기타,김순수,20141848,(주)이놀미디어,,,,,,,,,
20178398,쿠티스,COOTIES,2015,20171227,장편,개봉,미국,"공포(호러),코미디",미국,공포(호러),조나단 밀롯,,,,,캐리 멀니온,,,,,,
