movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20145503,검은 사제들,The Priests,2015,20151105,장편,개봉,한국,"미스터리,드라마",한국,미스터리,장재현,20100450,영화사 집,,,,,,,,,
20153801,"안녕, 전우치! 도술로봇대결전","Hello, Jeonwoochi! The Robot Armageddon",2015,20151008,장편,개봉,한국,애니메이션,한국,애니메이션,김대창,20142088,(주)얼리버드픽쳐스,,,,20155909,(주)쏘울 크리에이티브,,,,
20130021,"협녀, 칼의 기억",Memories of the Sword ,2015,20150813,장편,개봉,한국,"사극,액션",한국,사극,박흥식,20100781,(주)티피에스컴퍼니,,,,,,,,,
20158283,마담 보바리,Madame Bovary,2015,20151210,장편,개봉,미국,드라마,미국,드라마,소피 바르트,,,,,,,,,,,
20156704,드래곤 블레이드,Dragon Blade,2015,20150312,장편,개봉,중국,"액션,어드벤처",중국,액션,이인항,,,,,,,,,,,
20154945,조선안방 스캔들-칠거지악2,,2014,20151022,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,이숭환,20063099,(주)케이알씨지,,,,,,,,,
20143510,함정,Deep Trap ,2015,20150910,장편,개봉,한국,"스릴러,범죄",한국,스릴러,권형진,20154208,(주)데이드림,,,,,,,,,
20159224,혜경궁 홍씨,,2015,20150604,장편,개봉,한국,"공연,사극,드라마",한국,공연,장동홍,20153989,(주)컴퍼니 숨,,,,,,,,,
20131262,허삼관,Chronicle of a Blood Merchant,2014,20150114,장편,개봉,한국,드라마,한국,드라마,하정우,20122495,(주)두타연,,,,20126355,(주)판타지오픽쳐스,,,,
20141224,경성학교: 사라진 소녀들,The Silenced,2014,20150618,장편,개봉,한국,"미스터리,드라마",한국,미스터리,이해영,20100187,청년필름(주),,,,20062285,비밀의화원,,,,
20136068,히말라야,The Himalayas,2015,20151216,장편,개봉,한국,드라마,한국,드라마,이석훈,20100278,(주)제이케이필름,,,,,,,,,
